active_cases,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,deaths,last_updated_cases,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,situation_classification,state_id,state_name,subnotification_rate,trust_classification,data_last_refreshed
3375.0,68.0,,BR,Brasil,0.0,estabilizando,17,0.22527320078714447,1.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.0028515595036347403,0.019851851851851853,,3506853,,,,,0,RN,Rio Grande do Norte,0.9801481481481481,3.0,2021-01-20 09:14:53
3945.0,14.0,,BR,Brasil,0.0,estabilizando,1,0.047285712970247085,0.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.0,0.003548795944233207,,4018127,,,,,0,PB,Paraíba,0.9964512040557668,3.0,2021-01-20 09:14:53
27802.0,73.0,,BR,Brasil,5.0,estabilizando,17,0.05336362992385428,5.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.007324419793470195,0.0023379383634431457,,9557071,,,,,0,PE,Pernambuco,0.9976620616365569,3.0,2021-01-20 09:14:53
1110.0,17.0,,BR,Brasil,3.0,estabilizando,21,0.04194936292401442,0.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.0,0.014414414414414415,,3337357,,,,,0,AL,Alagoas,0.9855855855855856,3.0,2021-01-20 09:14:53
360.0,16.0,,BR,Brasil,0.0,estabilizando,15,0.039152632623017575,0.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.0,0.041666666666666664,,2298696,,,,,0,SE,Sergipe,0.9583333333333334,3.0,2021-01-20 09:14:53
5046.0,156.0,,BR,Brasil,29.0,estabilizando,10,0.09681932384611537,1.0,2020-03-29,,2020-03-29,1.0,estabilizando,0.0006723564155980235,0.029130009775171065,,14873064,,,,,0,BA,Bahia,0.9708699902248289,3.0,2021-01-20 09:14:53
4110.0,231.0,,BR,Brasil,26.0,estabilizando,6,0.09967503576373352,0.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.0,0.055231143552311436,,21168791,,,,,0,MG,Minas Gerais,0.9447688564476886,3.0,2021-01-20 09:14:53
3765.0,72.0,,BR,Brasil,11.0,estabilizando,24,0.16423425777313275,0.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.0,0.018061088977423638,,4018650,,,,,0,ES,Espírito Santo,0.9819389110225764,3.0,2021-01-20 09:14:53
36288.0,600.0,,BR,Brasil,42.0,estabilizando,1,0.3423121640193078,17.0,2020-03-29,,2020-03-29,4.0,estabilizando,0.011584167987117016,0.015873015873015872,,17264943,,,,,0,RJ,Rio de Janeiro,0.9841269841269842,3.0,2021-01-20 09:14:53
100185.0,1451.0,3.0,BR,Brasil,45.0,estabilizando,9,0.2550139921233996,98.0,2020-03-29,2020-03-19,2020-03-29,14.0,crescendo,0.023737425398335232,0.013834406348255729,3.0,45919049,3.94,1.52,2.7800000000000002,estabilizando,0,SP,São Paulo,0.9861655936517443,3.0,2021-01-20 09:14:53
